brand,model,first_registration,kilometers,engine,transmission

Volkswagen,Passat Variant 2.0 TDI DSG 17...,2012,251200,diesel,avtomatski

Volkswagen,Passat 2.0 TDI Highline DSG B...,2008,240000,diesel,avtomatski

Volkswagen,Passat 2.0 TDI BMT Highline,2015,176000,diesel,ročni

Volkswagen,Polo 9N Comfortline,2003,97000,bencinski,ročni

Volkswagen,Golf Variant 2.0 TDI BMT High...,2016,151000,diesel,avtomatski

Volkswagen,Passat Variant 1.6 TDI Comfor...,2015,159000,diesel,avtomatski

Volkswagen,Passat Variant 2.0 TDI BMT Hi...,2016,143962,diesel,ročni

Volkswagen,up! Move UP  Klima. GPS. kot ...,2013,56900,bencinski,ročni

Volkswagen,Passat Variant 4motion 2.0 TD...,2012,178000,diesel,ročni

Volkswagen,Tiguan 2.0 TDI BMT R-Line Edi...,2019,13200,diesel,avtomatski

Volkswagen,Passat 4motion 3.2 FSI Highli...,2009,319200,bencinski,avtomatski

Volkswagen,Passat Variant 2.0 TDI BMT Co...,2012,178000,diesel,ročni

Volkswagen,Sharan 2.0 TDI BlueMotion Com...,2014,155000,diesel,ročni

Volkswagen,Golf 2.0 TDI. PDC. zimskeFelt...,2010,241271,diesel,ročni

Volkswagen,Tiguan 2.0 TDI BMT Comfortlin...,2016,128828,diesel,ročni

Volkswagen,Golf 2.0 GTD BMT-SPORT SOUND,2015,,diesel,ročni

Volkswagen,Golf GL STARODOBNIK,1985,257000,bencinski,ročni

Volkswagen,Golf Highline 2.0 TDI DSG,2012,249000,diesel,avtomatski

Volkswagen,Golf Highline Siddharta 1.8 T...,2009,119000,bencinski,avtomatski

Volkswagen,Golf 1.9 TDI dizel,2004,260000,diesel,ročni

Volkswagen,Passat Variant 4motion 1.9 TD...,2004,215500,diesel,ročni

Volkswagen,Fox 1.4 benzcin,2006,200000,bencinski,ročni

Volkswagen,Golf Variant Basis 1.9 TDI,2004,296940,diesel,ročni

Volkswagen,Golf Variant Comfortline 1.9 ...,2004,396045,diesel,ročni

Volkswagen,Golf Plus Highline 1.6 TDI TE...,2011,150000,diesel,ročni

Volkswagen,Touran 1.9 TDI Basis,2004,280000,diesel,ročni

Volkswagen,Passat 2.0 TDI DPF Highline,2009,253000,diesel,ročni

Volkswagen,Passat Variant 4motion 2.0 TD...,2014,198000,diesel,ročni

Volkswagen,Passat ALLTRACK 4 MMOTION DSG,2014,220000,diesel,avtomatski

Volkswagen,Golf Variant 1.5 TSI ACT BMT ...,2017,65000,bencinski,ročni

Volkswagen,Polo Limuzina 1.4,2001,219000,bencinski,ročni

Volkswagen,CC 4motion 2.0 TDI Highline D...,2013,209900,diesel,avtomatski

Volkswagen,Touran 2.0 TDI Highline DSG F...,2006,267110,diesel,avtomatski

Volkswagen,Golf Plus Sportline 1.6,2005,127000,bencinski,ročni

Volkswagen,Passat Variant 1.9 TDI Highli...,2003,346583,diesel,ročni

Volkswagen,Passat Variant 1.9 TDI Trendl...,2008,239100,diesel,ročni

Volkswagen,Golf 1.9 TDI.KLIMA,2000,,diesel,ročni

Volkswagen,Sharan 2.0 TDI-XENON-LED-NAVI...,2014,175000,diesel,ročni

Volkswagen,Golf Comfortline 1.6 FSI,2003,189180,bencinski,ročni

Volkswagen,Bora 1.9 TDI Comfortline,2001,362000,diesel,ročni

Volkswagen,Touran 1.9 TDI Highline,2005,,diesel,ročni

Volkswagen,Multivan 4-Motion 2.0TDI DSG ...,2016,142200,diesel,avtomatski

Volkswagen,Passat Variant 1.9 TDI Comfor...,2008,256000,diesel,ročni

Volkswagen,Polo 1.2 Trendline,2006,143000,bencinski,ročni

Volkswagen,Passat Variant 4motion 2.0 TD...,2006,265000,diesel,ročni

Volkswagen,Polo 1.2 Comfortline,2002,243000,bencinski,ročni

Volkswagen,Polo 1.4,2001,192176,bencinski,ročni

Volkswagen,Passat CC 2.0 TDI-XENON-USNJE...,2010,206000,diesel,ročni

Volkswagen,Passat Variant 2.0 TDI DSG 17...,2012,251200,diesel,avtomatski

Volkswagen,Passat 2.0 TDI Highline DSG B...,2008,240000,diesel,avtomatski

Volkswagen,Passat 2.0 TDI BMT Highline,2015,176000,diesel,ročni

Volkswagen,Polo 9N Comfortline,2003,97000,bencinski,ročni

Volkswagen,Golf Variant 2.0 TDI BMT High...,2016,151000,diesel,avtomatski

Volkswagen,Passat Variant 1.6 TDI Comfor...,2015,159000,diesel,avtomatski

Volkswagen,Passat Variant 2.0 TDI BMT Hi...,2016,143962,diesel,ročni

Volkswagen,up! Move UP  Klima. GPS. kot ...,2013,56900,bencinski,ročni

Volkswagen,Passat Variant 4motion 2.0 TD...,2012,178000,diesel,ročni

Volkswagen,Tiguan 2.0 TDI BMT R-Line Edi...,2019,13200,diesel,avtomatski

Volkswagen,Passat 4motion 3.2 FSI Highli...,2009,319200,bencinski,avtomatski

Volkswagen,Passat Variant 2.0 TDI BMT Co...,2012,178000,diesel,ročni

Volkswagen,Sharan 2.0 TDI BlueMotion Com...,2014,155000,diesel,ročni

Volkswagen,Golf 2.0 TDI. PDC. zimskeFelt...,2010,241271,diesel,ročni

Volkswagen,Tiguan 2.0 TDI BMT Comfortlin...,2016,128828,diesel,ročni

Volkswagen,Golf 2.0 GTD BMT-SPORT SOUND,2015,,diesel,ročni

Volkswagen,Golf GL STARODOBNIK,1985,257000,bencinski,ročni

Volkswagen,Golf Highline 2.0 TDI DSG,2012,249000,diesel,avtomatski

Volkswagen,Golf Highline Siddharta 1.8 T...,2009,119000,bencinski,avtomatski

Volkswagen,Golf 1.9 TDI dizel,2004,260000,diesel,ročni

Volkswagen,Passat Variant 4motion 1.9 TD...,2004,215500,diesel,ročni

Volkswagen,Fox 1.4 benzcin,2006,200000,bencinski,ročni

Volkswagen,Golf Variant Basis 1.9 TDI,2004,296940,diesel,ročni

Volkswagen,Golf Variant Comfortline 1.9 ...,2004,396045,diesel,ročni

Volkswagen,Golf Plus Highline 1.6 TDI TE...,2011,150000,diesel,ročni

Volkswagen,Touran 1.9 TDI Basis,2004,280000,diesel,ročni

Volkswagen,Passat 2.0 TDI DPF Highline,2009,253000,diesel,ročni

Volkswagen,Passat Variant 4motion 2.0 TD...,2014,198000,diesel,ročni

Volkswagen,Passat ALLTRACK 4 MMOTION DSG,2014,220000,diesel,avtomatski

Volkswagen,Golf Variant 1.5 TSI ACT BMT ...,2017,65000,bencinski,ročni

Volkswagen,Polo Limuzina 1.4,2001,219000,bencinski,ročni

Volkswagen,CC 4motion 2.0 TDI Highline D...,2013,209900,diesel,avtomatski

Volkswagen,Touran 2.0 TDI Highline DSG F...,2006,267110,diesel,avtomatski

Volkswagen,Golf Plus Sportline 1.6,2005,127000,bencinski,ročni

Volkswagen,Passat Variant 1.9 TDI Highli...,2003,346583,diesel,ročni

